model_id,role,arena_score,rp5h,mapping
kimi-k3,candidate,1673.63,110,
qwen3.8-max,candidate,1669.1,160,
hy4-preview,candidate,1630.84,1350,
grok-4.6,candidate,1629.02,169,
qwen3.8-flash,candidate,1621.72,5400,
glm-5.3,candidate,1607.94,220,
glm-5.3-flash,candidate,1605.6,1580,
glm-5.2,candidate,1584.6,880,
deepseek-v4-pro,candidate,1583,1050,
deepseek-v4-flash,candidate,1580.37,7600,
muse-spark-1.2-contributor,candidate,1534.04,45300,
gpt-5.6-luna,candidate,1518.29,2050,
qwen3.7-max,candidate,1516.77,340,
hy3,candidate,1512.55,4300,
kimi-k2.6,candidate,1508.7,1150,
glm-5.1,candidate,1508.56,880,
minimax-m3,candidate,1487.09,3200,
mimo-v2.5-pro,candidate,1475.94,3250,
kimi-k2.7-code,candidate,1472.7,1350,
qwen3.6-plus,candidate,1460.18,3300,
qwen3.7-plus,candidate,1460.18,4300,
mimo-v2.5,candidate,1437.51,30100,
minimax-m2.7,candidate,1398.81,3400,
deepseek-v4-flash-vision-exp,candidate,,3800,
longcat-2.0,candidate,,11400,
claude-opus-5,request,1688.32,,qwen3.8-max
claude-fable-5,request,1627.99,,hy4-preview
claude-sonnet-5,request,1536.97,,deepseek-v4-flash
claude-haiku-4.5,request,1328.18,,muse-spark-1.2-contributor
gpt-5.6-sol,request,1616.19,,qwen3.8-flash
gpt-5.6-terra,request,1518.88,,muse-spark-1.2-contributor
gpt-5.5,request,1509.65,,muse-spark-1.2-contributor
gpt-5.4,request,1462.87,,muse-spark-1.2-contributor
gpt-5.4-mini,request,1397.15,,muse-spark-1.2-contributor
